Date,Symbol,Open,High,Low,Close,PrevClose,Volume,Turnover,Daily_Return_%
08-07-1996,RELIANCE,190.95,207,186.55,188.55,0,12419900,2346951490,inf
18-05-2009,RELIANCE,2147,2535,2101.25,2367.55,1950.7,52820,124406277.3,21.36925206
16-07-1996,RELIANCE,200,217.15,200,216.85,179.55,30655050,6372444845,20.77415762
25-03-2020,RELIANCE,963.8,1151.55,963.25,1082.25,943.4,33433126,35221338455,14.71804113
31-10-2008,RELIANCE,1264.95,1394.95,1235.35,1375.45,1201.75,10466939,14003484091,14.45392136
01-03-1997,RELIANCE,301.95,313.75,299.1,309.9,272.2,14948700,4556147683,13.85011021
31-10-2002,RELIANCE,237.05,269.4,237.05,265.5,234.4,36393864,9237610494,13.26791809
19-04-2001,RELIANCE,329.95,378.6,329.95,369.75,327.2,10637686,3789900921,13.00427873
07-04-2020,RELIANCE,1102.1,1214,1100,1206.1,1077.45,24859057,28867992304,11.94022924
09-06-2006,RELIANCE,815,929.2,815,922.75,825.7,11297369,10115178636,11.75366356
22-02-2017,RELIANCE,1093,1211.65,1092,1207.5,1088.2,29103926,34279184225,10.96305826
20-03-2020,RELIANCE,939.5,1034.9,930,1017.95,917.7,28967526,28503444362,10.92404925
02-02-1996,RELIANCE,188.75,206,188.75,203.8,183.85,29231000,5742382745,10.85123742
23-02-1995,RELIANCE,250,268.5,250,266.6,240.75,625850,163345252.5,10.73727934
22-04-2020,RELIANCE,1320,1384.9,1300,1363.6,1237.35,65230894,87505942711,10.20325696
10-10-1997,RELIANCE,386.7,421.7,386.7,421.5,383.35,30093250,12441973915,9.951741229
26-09-2001,RELIANCE,209.9,227.3,209.9,227.15,206.6,6554659,1446905931,9.946757018
19-11-2001,RELIANCE,284.1,305.9,284.1,305.25,278.05,5072690,1518135902,9.782413235
10-12-2008,RELIANCE,1148.7,1234,1137,1227.2,1118.55,7518930,8932653862,9.71346833
13-08-2019,RELIANCE,1233.15,1302.8,1226,1274.75,1162.1,47923444,61092901704,9.693658033
29-10-1997,RELIANCE,348.85,375.1,348.85,374.15,341.15,17027850,6252887093,9.673164297
17-05-1995,RELIANCE,250.75,261.45,250,260.75,237.95,1636500,420298845,9.581844925
14-01-2009,RELIANCE,1091.1,1218,1091.1,1179.75,1077.55,6550391,7508946863,9.484478678
28-09-2001,RELIANCE,244,265.9,238.5,264.6,241.7,10410047,2656251150,9.474555234
09-03-1998,RELIANCE,166.7,182.15,166.7,180.8,165.75,18901050,3300487043,9.079939668
30-01-1996,RELIANCE,171,189,168.5,180.7,165.8,37914350,6625773493,8.986731001
28-02-1997,RELIANCE,291.25,299,286,293.75,269.7,5895150,1719686908,8.917315536
01-05-1996,RELIANCE,267,269.9,264.25,266.05,244.65,17689800,4711098478,8.747189863
08-02-1996,RELIANCE,208.1,227.65,206,224,206,29335550,6281309898,8.737864078
30-11-1995,RELIANCE,200,227.5,199.5,224.3,206.35,15042850,3218377705,8.698812697
